# Agent-reviewed boundary routing; not a blanket compatibility verdict.
# Occurrences: regenerate with v029-audit-profile.json. Evidence and limits: v029-port.md.
group_id	kind	symbol	checklist_ids	qualification_scope	rationale
boundary-group-5942b6ba2b20	attribute_patch_candidate	hf_cfg.architectures	C02,R01,R02,R04	CPU/source; GPU cells only as listed in v029-port.md	Remap resolved upstream architecture to a DMI alias before loading.
boundary-group-7e2912e522ca	attribute_patch_candidate	model_runner._determine_batch_execution_and_padding	G02,G03,G04,G07	CPU/source; GPU cells only as listed in v029-port.md	Use actual dispatch descriptor; forward V2 max_query_len and preserve V1 uniform-decode semantics.
boundary-group-190002494b3e	attribute_patch_candidate	model_runner._prepare_inputs	G01,G07,S02,S03	CPU/source; GPU cells only as listed in v029-port.md	Snapshot real packed layout; forward V2 batch_req_state unchanged.
boundary-group-4d393b7f5a82	attribute_patch_candidate	model_runner.prepare_inputs	G01,G07,S02,S03	CPU/source; GPU cells only as listed in v029-port.md	Snapshot real packed layout; forward V2 batch_req_state unchanged.
boundary-group-f838b2937f74	config_attribute_candidate	StageConfig.clickhouse_insert	L01,L02	CPU/source; GPU cells only as listed in v029-port.md	DMI API, not vLLM; native build and scoped ClickHouse readback.
boundary-group-51977e2a78fa	config_attribute_candidate	adaptor.vllm_config.compilation_config	C05,G02,G04,G06	CPU/source; GPU cells only as listed in v029-port.md	Resolved compile/graph settings; SP/multi-rank GPU cells remain unqualified.
boundary-group-06ec4bbf7f5e	config_attribute_candidate	adaptor.vllm_config.parallel_config	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-a74fc8069aee	config_attribute_candidate	cache_config.mamba_cache_mode	C06,S03,S04,M06	CPU/source; GPU cells only as listed in v029-port.md	Scheduling/cache/speculation may change row bases; preserve explicit guards.
boundary-group-a9c52e15c236	config_attribute_candidate	compilation.pass_config.enable_sp	C05,G02,G04,G06	CPU/source; GPU cells only as listed in v029-port.md	Resolved compile/graph settings; SP/multi-rank GPU cells remain unqualified.
boundary-group-72656a776207	config_attribute_candidate	config.activation_function	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-deda9fa786a7	config_attribute_candidate	config.add_cross_attention	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-23433b666873	config_attribute_candidate	config.audio_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-388dc39f76b7	config_attribute_candidate	config.decoder_sparse_step	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-7244bd73ced2	config_attribute_candidate	config.final_logit_softcapping	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-867370878dd8	config_attribute_candidate	config.head_dim	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-c717a1d8faed	config_attribute_candidate	config.hidden_act	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-849113764518	config_attribute_candidate	config.hidden_activation	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-a779b8805573	config_attribute_candidate	config.hidden_size	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-375adaedf132	config_attribute_candidate	config.intermediate_size	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-f105483704d7	config_attribute_candidate	config.layer_norm_epsilon	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-6b3ae26d15af	config_attribute_candidate	config.logits_scaling	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-09ce4b4085a5	config_attribute_candidate	config.max_position_embeddings	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-499c8d303eff	config_attribute_candidate	config.model_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
